,ticker,text,0,1
0,AMZN,RT  OriginalFunko  Coming soon  Pop  Marvel  Victory Shawarma Scene  Bruce Banner  Amazon Exclusive   Inspired by Marvel Studios  The Aveng ,RT  OriginalFunko  Coming soon  Pop  Marvel  Victory Shawarma Scene  Bruce Banner  Amazon Exclusive   Inspired by Marvel Studios  The Aveng ,1
1,AMZN,RT  bunshun comics                                                                                                                          ,RT  bunshun comics                                                                                                                          ,1
2,AMZN,RT  kcsowriter  It all begins at a game  a win and revenge against a tough rival    psychologicalthriller   suspense   Solsticepublish  eBo ,RT  kcsowriter  It all begins at a game  a win and revenge against a tough rival    psychologicalthriller   suspense   Solsticepublish  eBo ,-1
3,AMZN,RT  LollyDaskal  When you improve your life you are improving those around you   LEARN WHY     National  Bestseller  gt  gt  gt   The Leadership Gap ,RT  LollyDaskal  When you improve your life you are improving those around you   LEARN WHY     National  Bestseller  gt  gt  gt   The Leadership Gap ,1
4,AMZN,RT  kyoko st                                                                         st                                                     ,RT  kyoko st                                                                         st                                                     ,1
5,AMZN,RT  HLfavorite   I also loved the very adventurous plot and how all of the details were well thought    Larry Johnson   LENDERS  The Unlice ,RT  HLfavorite   I also loved the very adventurous plot and how all of the details were well thought    Larry Johnson   LENDERS  The Unlice ,1
6,AMZN,RT  PrimeVideo JP   Amazon                                                                           LAST EVOLUTION    BEAUTY THE BIBLE S  ,RT  PrimeVideo JP   Amazon                                                                           LAST EVOLUTION    BEAUTY THE BIBLE S  ,1
7,AMZN, tradingplays AMZN either, tradingplays AMZN either,1
8,AMZN,RT  AndreaCoventry   The characters are good  and they have good chemistry    LOVE S SACRIFICE AND PROMISE  TWIN MOUNTAIN INN BOOK    by Ma ,RT  AndreaCoventry   The characters are good  and they have good chemistry    LOVE S SACRIFICE AND PROMISE  TWIN MOUNTAIN INN BOOK    by Ma ,1
9,AMZN,RT  TriggerTrades  Elliott Wave   Multi Time Frame Analysis   ES F  SPX  SPY    ES continues to make news highs without any significant ret ,RT  TriggerTrades  Elliott Wave   Multi Time Frame Analysis   ES F  SPX  SPY    ES continues to make news highs without any significant ret ,1
10,AMZN,RT  cadexperto   RT  EscribeCatalina  amazon  amazonkdp  amazonlibros  eBookJapan  LeerDesbloquea  literatura  amorporloslibros  novelajuve ,RT  cadexperto   RT  EscribeCatalina  amazon  amazonkdp  amazonlibros  eBookJapan  LeerDesbloquea  literatura  amorporloslibros  novelajuve ,1
11,AMZN,RT  honnoinosisi                                                                                                       P                    ,RT  honnoinosisi                                                                                                       P                    ,1
12,AMZN,RT  Fernandoalcarre   Amazon  Novela CONTRA VIENTO Y MAREA de   Extremadura  a os finales de la guerra civil de Espa a   La historia de amo ,RT  Fernandoalcarre   Amazon  Novela CONTRA VIENTO Y MAREA de   Extremadura  a os finales de la guerra civil de Espa a   La historia de amo ,-1
13,AMZN,RT  pickover  Here s a wonderful holiday gift book  with topics ranging from art and philosophy to games  computers  consciousness  and the ,RT  pickover  Here s a wonderful holiday gift book  with topics ranging from art and philosophy to games  computers  consciousness  and the ,-1
14,AMZN,RT  themerrillsedu     Flipgrid Sub Plans     Another awesome lesson idea curated in the  interACTIVEclass   Grab your copy and start using ,RT  themerrillsedu     Flipgrid Sub Plans     Another awesome lesson idea curated in the  interACTIVEclass   Grab your copy and start using ,1
15,AMZN,RT  SelenaLaLeyenda  Bidi Bidi Bom Bom  Coming soon  Pop  Rocks  Selena  Commemorate the Greatest Latin Female Artist of All Time by pre or ,RT  SelenaLaLeyenda  Bidi Bidi Bom Bom  Coming soon  Pop  Rocks  Selena  Commemorate the Greatest Latin Female Artist of All Time by pre or ,1
16,AMZN,RT  HLfavorite   Una novela que te crea tanta adicci n como las drogas sin el da o que estas ocasionan   Mar a Gim nez   A   SEGUNDO DE REN ,RT  HLfavorite   Una novela que te crea tanta adicci n como las drogas sin el da o que estas ocasionan   Mar a Gim nez   A   SEGUNDO DE REN ,1
17,AMZN,RT  amazonmusic    justinbieber is sliding right into the holiday season with a new Amazon Original recording  Rockin  Around The Christmas ,RT  amazonmusic    justinbieber is sliding right into the holiday season with a new Amazon Original recording  Rockin  Around The Christmas ,1
18,AMZN,RT  KurokonekoKamen  By popular demand the    cents  Sale continues    When Snow s evil stepfather King Reginald hires Fern to bring back t ,RT  KurokonekoKamen  By popular demand the    cents  Sale continues    When Snow s evil stepfather King Reginald hires Fern to bring back t ,1
19,AMZN,RT  MasqCrew  Psst    Want a hint about the  murder weapon   It s on the book cover   The Presence of a Difference  Stories of Divinclus Bo ,RT  MasqCrew  Psst    Want a hint about the  murder weapon   It s on the book cover   The Presence of a Difference  Stories of Divinclus Bo ,-1
20,TSLA,RT  DecodeMarkets  Goldman Sachs  GS on Enron just before the debacle    Now on Tesla  TSLA after Musk memo  Coincidences exist  I do think ,RT  DecodeMarkets  Goldman Sachs  GS on Enron just before the debacle    Now on Tesla  TSLA after Musk memo  Coincidences exist  I do think ,1
21,TSLA,RT  TriggerTrades  Elliott Wave   Multi Time Frame Analysis   ES F  SPX  SPY    ES continues to make news highs without any significant ret ,RT  TriggerTrades  Elliott Wave   Multi Time Frame Analysis   ES F  SPX  SPY    ES continues to make news highs without any significant ret ,1
22,TSLA,RT  koh bookstyle                PFE                           BNTX         MRNA                                   S amp P                      ,RT  koh bookstyle                PFE                           BNTX         MRNA                                   S amp P                      ,1
23,TSLA,                 Top       TSLA         ARKK         JMIA           Bottom       NIO         AAPL          RothIRA  DailyPortfolioWrapup,                 Top       TSLA         ARKK         JMIA           Bottom       NIO         AAPL          RothIRA  DailyPortfolioWrapup,1
24,TSLA,RT  TigerWolfCap  TIGER WOLF CAPITAL        GIVEAWAY    To enter     Follow  TigerWolfCap     Comment  investing  amp  Tag   Friends    Retweet ,RT  TigerWolfCap  TIGER WOLF CAPITAL        GIVEAWAY    To enter     Follow  TigerWolfCap     Comment  investing  amp  Tag   Friends    Retweet ,1
25,TSLA,RT  heydave   Goldman Sachs has upgraded TSLA to Buy  from Neutral  with price target of       from         ,RT  heydave   Goldman Sachs has upgraded TSLA to Buy  from Neutral  with price target of       from         ,1
26,TSLA, EndTesla  GerberKawasaki I ll take your bet and drop it to below     TSLA, EndTesla  GerberKawasaki I ll take your bet and drop it to below     TSLA,-1
27,TSLA, AstroJordy  no thanks   Looking forward to Rivian though admittedly I own TSLA for the long haul as the electric power platform , AstroJordy  no thanks   Looking forward to Rivian though admittedly I own TSLA for the long haul as the electric power platform ,1
28,TSLA, CryptoKaleo Thanks for everything K  How are your brother s July TSLA call doing  Did he offer champagne yet   , CryptoKaleo Thanks for everything K  How are your brother s July TSLA call doing  Did he offer champagne yet   ,1
29,TSLA,RT  KermitCapital  Today Ark Invest  Bought   SPLK     M    ICE       M  TWLO       M    SHOP       M    DOCU       M  TDOC       M  BEKE  ,RT  KermitCapital  Today Ark Invest  Bought   SPLK     M    ICE       M  TWLO       M    SHOP       M    DOCU       M  TDOC       M  BEKE  ,1
30,TSLA,RT  ParikPatelCFA  Good morning everyone  I did some technical analysis on  TSLA last night and I am happy to say I reiterate my bullish po ,RT  ParikPatelCFA  Good morning everyone  I did some technical analysis on  TSLA last night and I am happy to say I reiterate my bullish po ,1
31,TSLA,RT  rebelmarkets  Imagine shorting this market  And on top of that imagine shorting  TSLA,RT  rebelmarkets  Imagine shorting this market  And on top of that imagine shorting  TSLA,-1
32,TSLA,                                                         TSLA,                                                         TSLA,1
33,TSLA,RT  JohnGalt is www  Hoy me preguntaron cuanto  tendr a  que valer    TSLA    tesla      gauss  que es lo mismo que  wb por metro cuadrado ,RT  JohnGalt is www  Hoy me preguntaron cuanto  tendr a  que valer    TSLA    tesla      gauss  que es lo mismo que  wb por metro cuadrado ,1
34,TSLA,RT  InvestorVenture   SOAC  SOAC WS DEAL SOON Target END Q  LOADING ZONE EV   FSR  GIK  THCB  CIIC  GMHI  HYLN  TSLA  F  GM  NKLA  GP  RIDE ,RT  InvestorVenture   SOAC  SOAC WS DEAL SOON Target END Q  LOADING ZONE EV   FSR  GIK  THCB  CIIC  GMHI  HYLN  TSLA  F  GM  NKLA  GP  RIDE ,1
35,TSLA,RT  InvestorVenture   SOAC  SOAC WS   FSR  GIK  THCB  CIIC  GMHI  HYLN  TSLA  F  GM  NKLA  GP  RIDE  WKHS  SOLO  AYRO  FUV  HCAC  NIO  XPEV ,RT  InvestorVenture   SOAC  SOAC WS   FSR  GIK  THCB  CIIC  GMHI  HYLN  TSLA  F  GM  NKLA  GP  RIDE  WKHS  SOLO  AYRO  FUV  HCAC  NIO  XPEV ,1
36,TSLA,RT  SUNNYLAND     TSLA vs   GWSO  Battery Life   TSLA Model    Battery Life                      Miles     GWSO Proposed  Battery  Patent  ,RT  SUNNYLAND     TSLA vs   GWSO  Battery Life   TSLA Model    Battery Life                      Miles     GWSO Proposed  Battery  Patent  ,1
37,TSLA, JonahLupton That chart matches  TSLA s growth rate, JonahLupton That chart matches  TSLA s growth rate,-1
38,TSLA,RT  TigerWolfCap  TIGER WOLF CAPITAL        GIVEAWAY    To enter     Follow  TigerWolfCap     Comment  investing  amp  Tag   Friends    Retweet ,RT  TigerWolfCap  TIGER WOLF CAPITAL        GIVEAWAY    To enter     Follow  TigerWolfCap     Comment  investing  amp  Tag   Friends    Retweet ,1
39,TSLA,RT  anonyx    Kynikos reduces size of Tesla short as stock heads for S amp P       It s been painful  clearly   Chanos said in a Bloomberg  Fro ,RT  anonyx    Kynikos reduces size of Tesla short as stock heads for S amp P       It s been painful  clearly   Chanos said in a Bloomberg  Fro ,-1
40,TSLA,RT  AlternateJones  Let s take a moment to appreciate that  TSLA closed today at an ATH of           That is       pre split    Exactly   y ,RT  AlternateJones  Let s take a moment to appreciate that  TSLA closed today at an ATH of           That is       pre split    Exactly   y ,-1
41,TSLA, Cm aS KVEVVcdcm              TSLA                      , Cm aS KVEVVcdcm              TSLA                      ,1
42,TSLA,RT  richard chu     The more we look at it  for more and more consumer devices the core technology in them is going to be software  More an ,RT  richard chu     The more we look at it  for more and more consumer devices the core technology in them is going to be software  More an ,-1
43,TSLA,RT  rebelmarkets  Feeling  the pulse  of investors is very important    TSLA is wildly overvalued  I own  TSLA  amp  not selling the rest of my ,RT  rebelmarkets  Feeling  the pulse  of investors is very important    TSLA is wildly overvalued  I own  TSLA  amp  not selling the rest of my ,-1
44,TSLA,RT  TESLAcharts  For the record  the fact that  GM killed the Volt platform and replaced it with an electric version of the Hummer proves t ,RT  TESLAcharts  For the record  the fact that  GM killed the Volt platform and replaced it with an electric version of the Hummer proves t ,-1
45,TSLA,RT  AlternateJones  Let s take a moment to appreciate that  TSLA closed today at an ATH of           That is       pre split    Exactly   y ,RT  AlternateJones  Let s take a moment to appreciate that  TSLA closed today at an ATH of           That is       pre split    Exactly   y ,-1
46,TSLA,RT  PandaOptions   TSLA May be ready for another move higher soon  Watching     for possible entry  Targets over     at           Support a ,RT  PandaOptions   TSLA May be ready for another move higher soon  Watching     for possible entry  Targets over     at           Support a ,1
47,TSLA, GrnBulls Maybe it will run like TSLA , GrnBulls Maybe it will run like TSLA ,1
48,TSLA, BuddyFoxThe rd Yep just scalpin around  Can t go wrong with TSLA lol, BuddyFoxThe rd Yep just scalpin around  Can t go wrong with TSLA lol,-1
49,TSLA,RT  michaellebowitz  The S amp P     will see its P E rise by about   when  TSLA is added to it  That assumes Tesla s P E is      even though i ,RT  michaellebowitz  The S amp P     will see its P E rise by about   when  TSLA is added to it  That assumes Tesla s P E is      even though i ,1
50,TSLA,RT  stockspastor  I am not trading today   I am using it to start working on fresh trades for next week    OptionsPastor  SPY  TSLA  ZS  CR ,RT  stockspastor  I am not trading today   I am using it to start working on fresh trades for next week    OptionsPastor  SPY  TSLA  ZS  CR ,1
51,TSLA,RT  garyblack    Jim Chanos reduces  TSLA short  calls the last year  painful   Says if he ever meets  elonmusk  he d tell him  job well do ,RT  garyblack    Jim Chanos reduces  TSLA short  calls the last year  painful   Says if he ever meets  elonmusk  he d tell him  job well do ,-1
52,TSLA,RT  InvestorVenture   SOAC  SOAC WS DEAL SOON Target END Q  LOADING ZONE EV   FSR  GIK  THCB  CIIC  GMHI  HYLN  TSLA  F  GM  NKLA  GP  RIDE ,RT  InvestorVenture   SOAC  SOAC WS DEAL SOON Target END Q  LOADING ZONE EV   FSR  GIK  THCB  CIIC  GMHI  HYLN  TSLA  F  GM  NKLA  GP  RIDE ,1
53,TSLA,RT  garyblack       I saw this same cast of characters give up on  AMZN once profitability started to soar in          Same mistakes as  TS ,RT  garyblack       I saw this same cast of characters give up on  AMZN once profitability started to soar in          Same mistakes as  TS ,-1
54,TSLA,RT  AlternateJones  Let s take a moment to appreciate that  TSLA closed today at an ATH of           That is       pre split    Exactly   y ,RT  AlternateJones  Let s take a moment to appreciate that  TSLA closed today at an ATH of           That is       pre split    Exactly   y ,-1
55,TSLA,RT  TriggerTrades  Elliott Wave   Multi Time Frame Analysis   ES F  SPX  SPY    ES continues to make news highs without any significant ret ,RT  TriggerTrades  Elliott Wave   Multi Time Frame Analysis   ES F  SPX  SPY    ES continues to make news highs without any significant ret ,1
56,TSLA,RT  garyblack    Bloomberg shows   M  TSLA shares short       of float   but most are hedges against TSLA converts   I expect many to follo ,RT  garyblack    Bloomberg shows   M  TSLA shares short       of float   but most are hedges against TSLA converts   I expect many to follo ,-1
57,TSLA,RT  CNBCFastMoney  What goes up must come down  NYU s  AswathDamodaran takes a look at the market s high flyers and warns these three could ,RT  CNBCFastMoney  What goes up must come down  NYU s  AswathDamodaran takes a look at the market s high flyers and warns these three could ,-1
58,TSLA, FinanceFrat Looks like      bucks worth of tsla november     puts and some commissions, FinanceFrat Looks like      bucks worth of tsla november     puts and some commissions,1
59,TSLA, SMaxey    tsla going to keep going its my favorite stock of all time  Most likely     ish short term  , SMaxey    tsla going to keep going its my favorite stock of all time  Most likely     ish short term  ,1
60,TSLA,RT  business  Bloomberg     Zeng Yuqun s deal to supply batteries to Elon Musk s Tesla helped cut the price of the Model   to about         ,RT  business  Bloomberg     Zeng Yuqun s deal to supply batteries to Elon Musk s Tesla helped cut the price of the Model   to about         ,-1
61,GOOG,              ,              ,1
62,GOOG,I still inherently associate goog with the   emoji,I still inherently associate goog with the   emoji,1
63,GOOG,            ,            ,1
64,GOOG,goog morning mwapples ,goog morning mwapples ,1
65,GOOG,RT  Ariel xs x                                                                                                                              ,RT  Ariel xs x                                                                                                                              ,1
66,GOOG,now s a good time for competitors to move aggressively  because nothing s going to get accomplished at the ol  goog for at least two weeks,now s a good time for competitors to move aggressively  because nothing s going to get accomplished at the ol  goog for at least two weeks,1
67,GOOG, chinito marino Goog morning, chinito marino Goog morning,1
68,GOOG, Goog bjd                                                                                        , Goog bjd                                                                                        ,1
69,GOOG,  BREt vbrkJV iI                                                                       ,  BREt vbrkJV iI                                                                       ,1
70,GOOG, Oakie     AnSL K  Cylastite  EldritchAhri  Lillie          MusSouris  Mystery H     JeansBadLeg  nyawife  Goog, Oakie     AnSL K  Cylastite  EldritchAhri  Lillie          MusSouris  Mystery H     JeansBadLeg  nyawife  Goog,1
71,GOOG, frootIoopy wait i said goog  , frootIoopy wait i said goog  ,-1
72,GOOG, frootIoopy goog girl  , frootIoopy goog girl  ,1
73,GOOG,RT  bongtao                                                                                                                                 ,RT  bongtao                                                                                                                                 ,1
74,GOOG,RT  cosmosfarny                                                                                                                             ,RT  cosmosfarny                                                                                                                             ,1
75,GOOG,goog is really shitting the bed huh,goog is really shitting the bed huh,1
76,GOOG,ok goog le,ok goog le,1
77,GOOG,                                         ,                                         ,1
78,GOOG, broomstick   Gobbledy goog, broomstick   Gobbledy goog,1
79,GOOG,                                                ,                                                ,1
80,GOOG, leach deanna GOOG LORD    CAN SOMEONE GO TO JAIL FOR SOMETHING   ALL THIS BS AND NO ONE IS PAYING EXCEPT WE THE PEOPLE, leach deanna GOOG LORD    CAN SOMEONE GO TO JAIL FOR SOMETHING   ALL THIS BS AND NO ONE IS PAYING EXCEPT WE THE PEOPLE,1
81,GOOG, JacksonWang    Goog morning  my  daddy   Ruk  P Jack          , JacksonWang    Goog morning  my  daddy   Ruk  P Jack          ,1
82,GOOG, CYBERKKOOK goog morning  have a good day, CYBERKKOOK goog morning  have a good day,1
83,GOOG,RT   BREt vbrkJV iI                                                                    RT                                                   ,RT   BREt vbrkJV iI                                                                    RT                                                   ,1
84,GOOG,RT  eveningschdy                                                                                                                            ,RT  eveningschdy                                                                                                                            ,1
85,GOOG,RT  jicchamatome                    ZM  OKTA  CRWD  U  GDRX  PLTR  BLK  JPM  C  GS  MS  PM  PG  UBS  LMT  TXN  SNAP  TSLA  FVRR  PINS  FB   ,RT  jicchamatome                    ZM  OKTA  CRWD  U  GDRX  PLTR  BLK  JPM  C  GS  MS  PM  PG  UBS  LMT  TXN  SNAP  TSLA  FVRR  PINS  FB   ,1
86,GOOG,RT  lepusrik                                    DNA                                                                                         ,RT  lepusrik                                    DNA                                                                                         ,1
87,GOOG,RT  PPNUMBA    MRVL ALMOST EVERY SINGLE ONE OF TODAYS LARGEST DARK POOL TRADES WAS   THE ASK GET ACCESS TO DARK POOL TRADES  EXPERT OPTIONS ,RT  PPNUMBA    MRVL ALMOST EVERY SINGLE ONE OF TODAYS LARGEST DARK POOL TRADES WAS   THE ASK GET ACCESS TO DARK POOL TRADES  EXPERT OPTIONS ,1
